ss,Country,Code,Year,Mismanaged Plastic,GDP,Population
6,Aruba,A6,2008,1874.570249332041,2843016759.77654,97996.0
6,Aruba,A6,2009,1940.9419643785463,2553631284.9162,99212.0
6,Aruba,A6,2010,2054.22058622632,2453631284.9162,100341.0
6,Aruba,A6,2011,2133.9763174489976,2637988826.81564,101288.0
6,Aruba,A6,2012,2201.8862547747544,2615083798.88268,102112.0
6,Aruba,A6,2013,2278.9226522308963,2727932960.89385,102880.0
6,Aruba,A6,2014,2340.238009334319,2791061452.51397,103594.0
6,Aruba,A6,2015,2438.7819079387496,2963128491.62011,104257.0
6,Aruba,A6,2016,2501.8904350648113,2983798882.68156,104874.0
6,Aruba,A6,2017,2572.9342828079602,3092178770.94972,105439.0
6,Aruba,A6,2018,2652.567031296892,3276187709.49721,105962.0
6,Aruba,A6,2019,2707.7049047086393,3395793854.7486,106442.0
7,Australia,A7,2000,123208.72741571374,415844972940.496,19028802.0
7,Australia,A7,2001,129137.42745886178,379357823192.53,19274701.0
7,Australia,A7,2002,137125.6425350359,395573025330.447,19495210.0
7,Australia,A7,2003,144550.83838808245,467497961560.862,19720737.0
7,Australia,A7,2004,153072.5711553777,614326362213.686,19932722.0
7,Australia,A7,2005,159969.86262739878,695305000206.729,20176844.0
7,Australia,A7,2006,168844.1629702412,747907432136.598,20450966.0
7,Australia,A7,2007,178126.60371371114,854427259166.209,20827622.0
7,Australia,A7,2008,180533.221944279,1055686110665.53,21249199.0
7,Australia,A7,2009,186925.24676574557,928629769751.884,21691653.0
7,Australia,A7,2010,197834.70966097355,1148569537284.62,22031750.0
7,Australia,A7,2011,205515.70168102856,1398456161407.85,22340024.0
7,Australia,A7,2012,212055.8672426134,1546952690139.99,22733465.0
7,Australia,A7,2013,219474.96985810247,1576329690003.93,23128129.0
7,Australia,A7,2014,225380.03475310406,1467589901175.46,23475686.0
7,Australia,A7,2015,234870.44863561785,1350580336316.75,23815995.0
